Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
43,Travel_Rarely,101,Human Resources,1,4,Other,1,12,1,Female,66,4,3,Manager,3,Married,7545,12248,8,Y,No,13,3,4,80,3,17,2,4,17,2,4,4,Yes
41,Non-Travel,198,Sales,25,5,Human Resources,1,13,2,Female,95,2,3,Manufacturing Director,4,Divorced,6812,19340,8,Y,No,14,3,4,80,0,12,5,1,4,1,0,1,No
25,Travel_Rarely,787,Research & Development,12,3,Medical,1,14,3,Female,51,2,5,Manager,3,Single,8529,12677,7,Y,Yes,21,3,2,80,0,8,5,1,8,3,1,2,No
22,Non-Travel,1295,Sales,28,5,Technical Degree,1,15,2,Male,35,3,4,Laboratory Technician,1,Married,4903,3060,7,Y,No,23,3,2,80,0,4,6,3,4,3,4,0,No
38,Travel_Frequently,227,Research & Development,18,1,Human Resources,1,16,2,Male,83,2,3,Human Resources,4,Divorced,2240,21117,7,Y,Yes,12,3,3,80,2,3,1,2,1,1,0,1,Yes
26,Non-Travel,1020,Human Resources,24,5,Marketing,1,17,4,Male,36,1,4,Healthcare Representative,1,Married,3042,4368,7,Y,No,24,4,3,80,2,4,6,4,2,2,1,1,Yes
39,Non-Travel,1248,Sales,22,2,Medical,1,18,2,Male,78,4,2,Healthcare Representative,2,Divorced,9808,22238,5,Y,No,21,4,1,80,0,15,4,4,2,1,0,2,No
21,Travel_Rarely,755,Human Resources,13,2,Marketing,1,19,4,Male,59,3,1,Manufacturing Director,4,Divorced,4041,19214,2,Y,Yes,22,3,3,80,1,10,4,2,3,3,3,3,No
26,Travel_Rarely,612,Research & Development,15,2,Marketing,1,20,4,Female,77,1,5,Sales Executive,1,Single,6118,15184,6,Y,Yes,25,4,2,80,0,14,6,3,5,1,0,1,Yes
54,Travel_Rarely,1057,Human Resources,20,5,Other,1,21,4,Female,45,2,2,Research Scientist,4,Single,4147,24868,6,Y,Yes,14,3,2,80,1,14,4,3,1,1,0,1,Yes
53,Travel_Rarely,541,Research & Development,1,5,Marketing,1,22,1,Female,33,4,2,Human Resources,1,Single,3269,18347,3,Y,Yes,18,4,2,80,2,10,3,1,1,1,1,1,Yes
54,Travel_Frequently,496,Research & Development,12,2,Human Resources,1,23,1,Female,64,3,1,Manager,2,Single,8677,25132,9,Y,Yes,20,3,2,80,1,17,2,1,5,1,1,3,Yes
28,Non-Travel,1120,Research & Development,25,4,Human Resources,1,24,2,Male,53,4,3,Sales Executive,1,Divorced,6145,19506,3,Y,Yes,12,3,3,80,3,13,6,2,9,3,1,0,Yes
30,Travel_Rarely,828,Human Resources,22,5,Life Sciences,1,25,3,Male,48,1,4,Sales Executive,4,Married,3192,9400,2,Y,Yes,22,3,3,80,3,5,5,3,2,2,2,2,No
33,Travel_Rarely,1047,Research & Development,27,5,Human Resources,1,26,4,Male,82,3,1,Research Director,3,Divorced,7297,20540,4,Y,No,20,3,3,80,1,11,6,2,3,1,1,3,Yes
60,Travel_Rarely,1291,Research & Development,10,1,Life Sciences,1,27,2,Male,56,2,2,Sales Representative,1,Divorced,7665,24556,4,Y,No,16,3,4,80,3,22,4,1,9,4,4,0,Yes
24,Non-Travel,1375,Research & Development,19,5,Life Sciences,1,28,4,Male,83,3,3,Research Director,2,Single,6298,24361,2,Y,No,17,3,1,80,0,23,1,4,18,3,1,4,No
25,Travel_Rarely,604,Sales,28,1,Medical,1,29,1,Female,85,1,5,Manufacturing Director,2,Single,5775,4105,4,Y,No,16,4,3,80,3,19,4,4,6,2,1,6,Yes
35,Travel_Rarely,1496,Research & Development,22,3,Technical Degree,1,30,4,Male,86,3,4,Manufacturing Director,2,Single,3249,12975,7,Y,Yes,16,4,4,80,3,15,4,4,1,1,0,1,No
25,Travel_Frequently,601,Sales,17,1,Technical Degree,1,31,1,Female,58,1,3,Laboratory Technician,1,Single,8236,14677,1,Y,No,13,4,3,80,0,11,1,2,1,1,1,1,No
22,Travel_Rarely,245,Sales,15,1,Technical Degree,1,32,3,Female,55,3,1,Sales Representative,2,Married,1988,8970,0,Y,No,23,3,2,80,0,1,2,3,1,1,0,0,Yes
23,Non-Travel,1096,Human Resources,21,5,Other,1,33,2,Female,46,1,1,Human Resources,2,Single,5832,4048,2,Y,Yes,23,4,4,80,1,12,0,1,6,5,2,0,Yes
48,Travel_Rarely,537,Sales,22,3,Other,1,34,3,Female,79,4,1,Human Resources,2,Single,12781,10427,4,Y,Yes,24,3,1,80,0,2,6,3,1,1,1,1,Yes
31,Travel_Rarely,1429,Human Resources,2,2,Life Sciences,1,35,2,Male,80,3,2,Human Resources,4,Single,3033,22645,0,Y,Yes,18,4,2,80,2,6,1,3,1,1,1,1,No
27,Travel_Frequently,1083,Human Resources,5,2,Life Sciences,1,36,2,Male,82,2,5,Manufacturing Director,2,Divorced,6925,5818,2,Y,Yes,25,3,3,80,2,22,6,3,11,2,0,3,Yes
57,Travel_Frequently,160,Research & Development,26,3,Marketing,1,37,3,Male,50,1,2,Human Resources,4,Divorced,3373,6777,5,Y,No,15,3,1,80,0,10,3,2,9,2,4,0,Yes
43,Non-Travel,146,Research & Development,25,3,Other,1,38,3,Female,77,1,1,Laboratory Technician,2,Married,11348,15568,7,Y,No,11,3,1,80,3,13,6,3,5,1,0,1,No
43,Travel_Frequently,1435,Sales,19,3,Human Resources,1,39,3,Male,52,2,3,Sales Executive,3,Single,5410,3531,1,Y,Yes,20,3,3,80,2,16,0,3,6,1,0,0,No
34,Travel_Rarely,636,Sales,17,5,Medical,1,40,4,Female,54,4,2,Manager,3,Married,10922,18616,1,Y,Yes,25,4,3,80,1,12,1,3,1,1,1,1,Yes
36,Non-Travel,414,Human Resources,13,5,Other,1,41,1,Male,62,1,5,Healthcare Representative,2,Divorced,2294,3605,6,Y,No,14,3,2,80,1,20,5,3,10,2,0,5,No
20,Travel_Frequently,1019,Sales,6,2,Life Sciences,1,42,4,Male,33,3,1,Laboratory Technician,2,Divorced,2785,20935,5,Y,Yes,13,3,2,80,2,6,2,4,3,2,1,3,Yes
22,Non-Travel,239,Human Resources,15,1,Marketing,1,43,2,Male,43,4,5,Manufacturing Director,2,Divorced,3706,22618,3,Y,No,23,3,3,80,0,3,5,2,3,2,1,2,Yes
27,Travel_Rarely,420,Research & Development,5,1,Other,1,44,1,Female,38,3,3,Sales Executive,2,Married,2977,11310,0,Y,Yes,15,4,4,80,1,20,5,1,19,1,2,8,Yes
29,Travel_Rarely,972,Sales,5,4,Other,1,45,2,Female,64,1,5,Healthcare Representative,1,Divorced,6864,21282,9,Y,No,24,4,1,80,0,18,1,1,6,1,2,1,No
57,Non-Travel,1146,Sales,15,1,Medical,1,46,1,Male,46,1,2,Research Scientist,2,Married,4471,5687,7,Y,Yes,13,3,2,80,1,7,2,3,2,2,2,2,Yes
32,Travel_Frequently,649,Sales,25,1,Life Sciences,1,47,1,Female,56,3,1,Healthcare Representative,2,Single,4883,4243,5,Y,Yes,12,3,1,80,2,18,1,1,6,2,0,2,Yes
53,Travel_Frequently,1280,Research & Development,8,5,Human Resources,1,48,1,Male,76,4,4,Human Resources,1,Single,8326,22609,2,Y,Yes,13,4,4,80,1,17,2,3,3,2,0,0,No
27,Travel_Rarely,495,Sales,26,5,Medical,1,49,4,Female,91,2,1,Sales Representative,1,Married,2727,26174,7,Y,Yes,22,3,4,80,3,13,3,4,3,1,2,3,Yes
25,Travel_Frequently,1113,Human Resources,19,5,Life Sciences,1,50,2,Female,69,1,3,Research Scientist,3,Single,3497,3792,4,Y,Yes,15,3,2,80,3,19,5,3,5,3,5,5,No
57,Travel_Frequently,216,Research & Development,26,1,Medical,1,51,3,Male,92,4,1,Manager,2,Single,2226,12314,5,Y,Yes,12,3,3,80,1,14,2,1,6,1,1,0,Yes
41,Travel_Frequently,1284,Research & Development,17,5,Marketing,1,52,3,Female,51,2,4,Research Scientist,2,Divorced,9974,7588,0,Y,No,17,3,4,80,0,8,0,4,4,1,1,0,No
57,Travel_Rarely,1051,Sales,19,5,Human Resources,1,53,1,Female,74,1,3,Healthcare Representative,2,Single,17795,2768,2,Y,Yes,25,3,2,80,1,11,3,1,1,1,1,1,Yes
21,Travel_Frequently,899,Research & Development,10,2,Human Resources,1,54,3,Male,63,4,1,Manager,3,Married,5062,18438,1,Y,Yes,17,4,4,80,0,7,0,3,1,1,0,0,Yes
25,Travel_Rarely,1387,Human Resources,2,3,Human Resources,1,55,4,Male,61,4,3,Sales Representative,4,Married,5163,22931,3,Y,No,15,4,2,80,2,15,6,4,1,1,0,1,Yes
50,Non-Travel,1014,Human Resources,4,5,Marketing,1,56,4,Male,31,1,5,Manager,4,Divorced,4604,21978,9,Y,No,25,3,3,80,2,13,6,4,1,1,1,1,No
47,Travel_Frequently,1403,Human Resources,17,2,Technical Degree,1,57,2,Female,88,2,1,Sales Representative,2,Divorced,7901,5186,0,Y,Yes,24,3,4,80,1,12,4,1,1,1,0,0,Yes
60,Non-Travel,1232,Human Resources,2,5,Other,1,58,3,Male,99,2,5,Sales Representative,2,Divorced,4103,7475,8,Y,No,16,3,1,80,0,15,0,2,3,1,3,0,No
59,Travel_Frequently,367,Sales,13,1,Medical,1,59,1,Female,39,1,1,Healthcare Representative,2,Divorced,3975,5028,9,Y,No,24,3,4,80,1,3,2,1,2,2,0,2,Yes
43,Non-Travel,775,Research & Development,17,3,Technical Degree,1,60,3,Male,83,2,5,Manufacturing Director,4,Divorced,3557,23792,9,Y,Yes,14,4,3,80,2,11,3,3,1,1,1,1,Yes
60,Travel_Rarely,1340,Human Resources,29,3,Medical,1,61,4,Female,71,1,3,Manager,3,Single,8731,3252,2,Y,Yes,24,3,4,80,2,1,4,4,1,1,1,1,Yes
34,Travel_Frequently,111,Sales,16,3,Human Resources,1,62,4,Male,50,1,5,Manufacturing Director,2,Married,3457,9119,5,Y,No,18,3,2,80,0,27,3,3,13,2,2,0,No
43,Non-Travel,982,Human Resources,16,2,Other,1,63,3,Female,68,3,2,Manufacturing Director,3,Married,7400,21945,6,Y,No,11,3,4,80,3,9,4,2,1,1,1,1,Yes
43,Travel_Rarely,596,Human Resources,4,5,Technical Degree,1,64,2,Male,54,1,2,Sales Executive,1,Single,5254,15737,1,Y,No,17,3,2,80,1,20,5,3,6,1,4,2,Yes
49,Travel_Frequently,1020,Sales,7,4,Medical,1,65,1,Female,94,2,1,Research Scientist,3,Divorced,18013,13692,7,Y,No,24,3,4,80,1,15,5,1,2,2,0,0,No
32,Travel_Frequently,1063,Research & Development,12,3,Human Resources,1,66,2,Female,66,1,5,Human Resources,3,Single,3550,6805,6,Y,No,18,3,2,80,0,10,1,1,3,1,2,0,No
25,Non-Travel,1230,Sales,2,1,Technical Degree,1,67,2,Male,70,1,2,Healthcare Representative,3,Married,5341,16199,5,Y,No,15,4,2,80,2,13,6,1,4,2,1,2,Yes
59,Travel_Frequently,315,Research & Development,3,3,Marketing,1,68,2,Female,42,4,5,Manufacturing Director,3,Divorced,6286,6675,4,Y,Yes,12,3,1,80,3,3,2,3,3,2,0,3,Yes
42,Non-Travel,1074,Sales,6,3,Medical,1,69,1,Male,77,2,2,Sales Representative,2,Single,6331,10228,4,Y,No,23,3,2,80,3,17,4,4,6,1,1,6,Yes
20,Travel_Frequently,1412,Human Resources,6,3,Life Sciences,1,70,4,Male,69,4,1,Research Director,3,Married,4445,20088,8,Y,No,15,3,4,80,2,12,2,2,2,2,0,2,No
48,Non-Travel,181,Human Resources,4,2,Technical Degree,1,71,2,Female,41,3,2,Sales Executive,4,Single,4520,11882,0,Y,No,19,3,4,80,2,16,1,4,2,2,0,2,No
23,Non-Travel,1347,Research & Development,2,4,Other,1,72,4,Male,66,1,4,Sales Representative,4,Married,5288,20271,3,Y,Yes,12,4,3,80,3,10,0,4,2,1,0,2,Yes
18,Travel_Frequently,1130,Research & Development,29,3,Marketing,1,73,1,Female,35,3,3,Sales Executive,3,Divorced,3665,13801,1,Y,Yes,24,3,1,80,3,16,0,3,5,2,1,0,No
46,Travel_Rarely,1073,Sales,20,3,Technical Degree,1,74,3,Male,96,1,4,Human Resources,4,Single,12777,2988,4,Y,No,25,4,3,80,3,6,5,3,5,1,0,5,Yes
18,Travel_Rarely,892,Research & Development,24,4,Marketing,1,75,2,Female,44,4,3,Laboratory Technician,4,Married,8793,23563,8,Y,Yes,11,4,1,80,3,6,6,3,6,1,3,4,Yes
20,Travel_Frequently,477,Research & Development,3,4,Technical Degree,1,76,2,Female,44,1,1,Sales Representative,2,Single,3088,15547,3,Y,No,14,3,2,80,3,14,0,4,7,1,0,2,Yes
19,Travel_Frequently,1443,Human Resources,18,3,Medical,1,77,1,Male,62,4,1,Sales Executive,4,Divorced,3578,19162,5,Y,Yes,13,3,1,80,3,4,0,2,3,1,0,2,No
39,Travel_Rarely,341,Sales,28,1,Human Resources,1,78,2,Male,62,1,5,Manufacturing Director,2,Single,8085,25116,3,Y,Yes,20,3,2,80,2,8,1,2,1,1,1,1,Yes
59,Travel_Frequently,322,Sales,9,2,Other,1,79,4,Female,37,4,2,Manufacturing Director,4,Married,9893,5389,3,Y,Yes,24,3,3,80,2,7,2,4,1,1,1,1,No
39,Travel_Rarely,973,Human Resources,14,3,Marketing,1,80,2,Male,41,3,4,Research Scientist,1,Divorced,7803,3560,2,Y,Yes,20,3,3,80,1,11,3,1,3,3,0,3,No
49,Travel_Frequently,972,Human Resources,27,3,Other,1,81,4,Male,64,1,5,Sales Representative,2,Single,20000,24462,0,Y,Yes,17,4,1,80,1,13,4,3,6,1,1,5,Yes
54,Non-Travel,1055,Research & Development,24,2,Life Sciences,1,82,1,Female,80,4,1,Research Scientist,4,Divorced,4682,24015,3,Y,No,12,3,4,80,1,5,6,2,2,1,2,1,No
29,Non-Travel,199,Sales,16,2,Marketing,1,83,4,Male,43,2,2,Human Resources,3,Married,3511,14197,8,Y,No,24,4,1,80,2,17,5,4,8,1,1,3,Yes
56,Non-Travel,127,Research & Development,2,3,Medical,1,84,1,Female,34,3,1,Research Director,4,Single,1568,22939,7,Y,No,14,4,3,80,2,9,6,3,1,1,1,1,No
33,Travel_Frequently,1071,Human Resources,1,1,Technical Degree,1,85,4,Female,57,1,3,Research Director,1,Married,1724,21118,4,Y,Yes,22,4,1,80,0,11,3,4,8,2,1,6,No
37,Travel_Frequently,1416,Sales,20,2,Medical,1,86,1,Female,30,3,3,Healthcare Representative,2,Divorced,5580,12724,4,Y,No,21,4,1,80,0,16,2,2,2,1,2,1,Yes
41,Travel_Rarely,250,Research & Development,13,4,Technical Degree,1,87,4,Male,79,2,4,Manager,3,Married,2270,25559,1,Y,No,15,3,3,80,3,8,4,4,3,1,0,3,No
51,Non-Travel,213,Human Resources,18,1,Life Sciences,1,88,2,Male,37,3,1,Healthcare Representative,4,Single,6321,19370,7,Y,Yes,19,4,1,80,0,15,2,3,5,5,2,1,No
22,Travel_Rarely,1284,Research & Development,9,1,Other,1,89,4,Female,42,1,5,Human Resources,1,Divorced,1947,21614,8,Y,No,21,4,2,80,0,15,5,2,1,1,1,1,Yes
51,Travel_Frequently,1488,Sales,11,1,Medical,1,90,4,Female,83,3,1,Research Scientist,1,Divorced,7877,5726,0,Y,Yes,22,3,3,80,2,8,4,3,6,4,0,1,Yes
49,Travel_Frequently,1073,Human Resources,10,2,Human Resources,1,91,2,Female,38,3,5,Manager,2,Married,2574,8471,1,Y,No,16,4,1,80,0,14,1,1,1,1,0,1,Yes
54,Travel_Frequently,1043,Research & Development,23,2,Marketing,1,92,4,Male,72,1,5,Healthcare Representative,3,Single,3639,11206,4,Y,Yes,22,3,4,80,2,12,2,3,2,2,0,1,Yes
36,Non-Travel,850,Human Resources,28,3,Medical,1,93,4,Male,45,2,4,Human Resources,2,Single,4832,11873,1,Y,No,11,4,4,80,1,12,0,2,2,1,0,2,Yes
27,Non-Travel,411,Human Resources,17,2,Marketing,1,94,1,Male,71,4,4,Human Resources,4,Single,3055,11667,5,Y,No,17,3,4,80,3,21,4,2,7,1,0,0,Yes
39,Travel_Rarely,1083,Sales,26,1,Other,1,95,1,Male,71,4,1,Healthcare Representative,2,Married,5036,3316,3,Y,Yes,12,3,4,80,3,11,6,2,2,1,2,2,No
27,Non-Travel,582,Human Resources,12,2,Medical,1,96,1,Female,50,1,5,Healthcare Representative,3,Single,5015,2987,6,Y,Yes,21,3,1,80,1,17,4,1,3,2,0,0,Yes
52,Travel_Frequently,558,Research & Development,7,4,Marketing,1,97,2,Male,48,4,2,Research Director,2,Single,11340,12793,6,Y,No,23,4,4,80,0,11,0,4,3,2,0,1,No
23,Travel_Rarely,927,Research & Development,2,4,Technical Degree,1,98,1,Female,73,3,5,Research Scientist,4,Single,7796,25781,7,Y,Yes,12,3,2,80,3,2,4,2,2,1,0,2,Yes
40,Travel_Rarely,1387,Human Resources,22,4,Medical,1,99,2,Male,65,1,5,Healthcare Representative,1,Divorced,2322,12526,8,Y,No,17,3,2,80,1,25,0,3,22,2,2,1,No
29,Non-Travel,336,Human Resources,23,4,Technical Degree,1,100,3,Female,34,4,4,Manufacturing Director,1,Married,2527,18669,4,Y,No,14,3,4,80,2,29,0,1,16,2,3,4,No
51,Non-Travel,1068,Research & Development,1,3,Human Resources,1,101,3,Male,81,2,2,Healthcare Representative,4,Divorced,3494,6406,5,Y,Yes,13,3,3,80,1,10,3,1,2,1,0,2,No
59,Travel_Frequently,1339,Sales,10,3,Other,1,102,4,Male,36,4,1,Manufacturing Director,3,Single,2731,15716,2,Y,Yes,12,3,2,80,2,17,1,2,4,2,4,3,Yes
42,Travel_Rarely,1233,Sales,16,5,Technical Degree,1,103,4,Female,32,3,1,Laboratory Technician,2,Divorced,3425,19432,4,Y,No,12,4,2,80,3,2,0,3,2,2,2,2,Yes
49,Non-Travel,945,Sales,20,2,Marketing,1,104,1,Female,89,3,5,Healthcare Representative,3,Single,18299,22733,1,Y,Yes,22,3,3,80,2,15,4,3,1,1,0,0,No
28,Travel_Frequently,1222,Human Resources,21,1,Life Sciences,1,105,4,Male,91,2,3,Manufacturing Director,3,Divorced,6788,26975,0,Y,Yes,14,4,3,80,3,10,0,1,2,2,1,1,No
53,Travel_Rarely,867,Sales,29,3,Medical,1,106,3,Female,56,4,5,Research Scientist,1,Divorced,9770,12837,4,Y,No,24,3,2,80,2,17,4,2,3,2,3,2,Yes
40,Non-Travel,592,Research & Development,21,5,Technical Degree,1,107,2,Female,74,4,4,Healthcare Representative,1,Divorced,5189,13234,0,Y,No,22,3,3,80,0,2,3,4,1,1,0,1,Yes
21,Travel_Frequently,843,Human Resources,3,1,Other,1,108,1,Female,81,1,2,Sales Executive,1,Divorced,2809,12636,0,Y,No,19,3,4,80,0,9,0,1,8,1,3,0,Yes
50,Non-Travel,825,Sales,8,1,Marketing,1,109,3,Male,46,4,5,Sales Executive,3,Single,4702,16916,0,Y,No,17,4,4,80,0,15,0,3,5,3,2,0,No
41,Travel_Rarely,376,Research & Development,8,2,Human Resources,1,110,3,Female,40,4,3,Healthcare Representative,3,Divorced,7790,10964,5,Y,No,18,3,2,80,2,4,3,1,1,1,0,1,No
42,Travel_Frequently,469,Research & Development,10,5,Marketing,1,111,4,Female,41,3,2,Manager,2,Divorced,4421,2780,4,Y,Yes,25,4,2,80,2,27,1,3,13,2,0,2,No
26,Non-Travel,1084,Research & Development,18,4,Technical Degree,1,112,2,Female,73,4,3,Sales Representative,2,Divorced,4634,20544,7,Y,No,15,3,2,80,3,13,5,3,2,2,2,0,No
35,Travel_Frequently,746,Human Resources,23,4,Life Sciences,1,113,4,Female,51,3,1,Sales Executive,2,Married,2642,25387,1,Y,No,12,4,1,80,2,29,3,3,16,3,6,2,Yes
40,Travel_Rarely,520,Research & Development,29,1,Other,1,114,4,Female,32,3,3,Human Resources,3,Married,6652,20844,6,Y,Yes,22,3,4,80,0,18,6,4,8,3,1,0,Yes
18,Non-Travel,572,Research & Development,10,5,Technical Degree,1,115,4,Male,75,3,3,Research Director,3,Single,6435,13329,8,Y,No,23,3,4,80,3,11,5,2,2,1,2,0,No
34,Non-Travel,1143,Research & Development,11,3,Technical Degree,1,116,3,Male,99,4,3,Research Director,1,Single,5830,19081,3,Y,Yes,25,4,4,80,3,5,1,4,1,1,0,0,No
55,Travel_Rarely,287,Research & Development,25,5,Human Resources,1,117,4,Female,46,3,4,Human Resources,1,Single,11390,5586,7,Y,Yes,15,3,3,80,3,4,3,4,1,1,1,1,No
35,Travel_Rarely,1442,Sales,14,3,Other,1,118,2,Male,53,1,4,Research Director,2,Married,3376,23817,5,Y,No,15,4,4,80,2,6,4,4,4,1,0,3,No
50,Travel_Frequently,1119,Research & Development,22,5,Technical Degree,1,119,1,Male,46,2,4,Sales Representative,4,Married,4715,20394,5,Y,Yes,25,4,3,80,2,14,0,2,4,3,1,0,Yes
27,Non-Travel,353,Human Resources,22,5,Medical,1,120,2,Male,80,1,3,Human Resources,2,Married,4624,7017,2,Y,No,15,4,4,80,0,2,3,1,2,1,1,2,Yes
53,Travel_Rarely,908,Human Resources,22,4,Marketing,1,121,4,Female,89,1,4,Healthcare Representative,4,Divorced,4847,14835,4,Y,No,24,4,2,80,1,8,5,4,3,3,0,0,No
31,Travel_Frequently,304,Research & Development,6,4,Marketing,1,122,1,Female,74,4,3,Human Resources,4,Divorced,11921,10017,9,Y,No,21,3,1,80,3,7,1,1,2,1,2,0,No
32,Non-Travel,995,Research & Development,14,1,Medical,1,123,1,Female,87,1,2,Manufacturing Director,1,Single,5082,22054,9,Y,No,15,3,3,80,2,23,0,1,12,1,1,1,Yes
58,Non-Travel,589,Human Resources,25,1,Technical Degree,1,124,1,Female,53,1,5,Research Director,2,Divorced,6361,8171,9,Y,Yes,21,3,3,80,1,15,0,1,1,1,1,0,Yes
51,Non-Travel,941,Sales,2,3,Human Resources,1,125,1,Female,68,2,4,Laboratory Technician,4,Single,2609,26558,7,Y,No,16,4,3,80,1,13,2,4,12,4,3,2,Yes
49,Non-Travel,1191,Research & Development,14,4,Medical,1,126,2,Female,44,4,5,Sales Executive,3,Divorced,4774,20133,3,Y,Yes,22,3,1,80,0,16,1,4,2,1,2,0,Yes
42,Non-Travel,873,Research & Development,7,4,Other,1,127,3,Female,79,3,3,Manager,1,Divorced,4297,4551,9,Y,Yes,18,4,4,80,0,4,3,1,2,1,2,2,No
32,Travel_Frequently,927,Human Resources,20,4,Marketing,1,128,2,Female,36,4,3,Human Resources,1,Divorced,3468,2258,1,Y,Yes,21,3,4,80,0,19,6,4,10,2,0,3,Yes
60,Travel_Rarely,913,Sales,23,1,Other,1,129,3,Male,50,2,5,Healthcare Representative,2,Married,8117,3283,5,Y,Yes,20,3,3,80,3,22,2,1,14,4,1,2,No
42,Travel_Frequently,744,Human Resources,3,5,Medical,1,130,4,Female,38,4,2,Research Scientist,2,Single,3590,18299,8,Y,Yes,21,3,3,80,3,20,3,1,7,1,0,2,Yes
20,Travel_Frequently,289,Sales,1,5,Marketing,1,131,3,Female,81,2,1,Healthcare Representative,3,Single,5089,15230,1,Y,Yes,20,3,1,80,2,11,5,1,2,1,2,1,Yes
32,Travel_Rarely,371,Human Resources,2,2,Medical,1,132,3,Male,69,4,4,Laboratory Technician,3,Divorced,8275,3958,5,Y,No,19,4,4,80,0,14,6,3,2,1,0,1,No
42,Non-Travel,1425,Sales,20,4,Medical,1,133,4,Male,46,3,1,Research Director,3,Married,3649,20171,1,Y,No,13,3,2,80,2,5,2,3,1,1,0,1,No
55,Travel_Frequently,695,Human Resources,17,1,Marketing,1,134,4,Male,43,2,1,Sales Executive,3,Single,2680,26173,2,Y,No,13,3,3,80,0,15,3,4,2,1,2,2,No
26,Non-Travel,1243,Human Resources,6,5,Technical Degree,1,135,1,Female,65,4,1,Healthcare Representative,2,Married,7664,18648,0,Y,No,18,4,1,80,1,15,2,1,2,2,0,1,Yes
47,Travel_Rarely,613,Research & Development,9,5,Medical,1,136,2,Female,70,4,5,Research Director,2,Divorced,3776,20863,2,Y,No,21,3,1,80,2,15,4,1,4,1,0,0,No
50,Travel_Rarely,827,Human Resources,1,5,Other,1,137,3,Female,76,4,4,Healthcare Representative,2,Married,5381,13851,8,Y,Yes,13,3,4,80,0,2,5,4,1,1,1,1,No
46,Non-Travel,639,Human Resources,4,4,Other,1,138,1,Female,96,2,4,Sales Executive,2,Married,11551,4007,1,Y,Yes,21,3,1,80,3,16,6,2,5,3,0,0,Yes
34,Non-Travel,540,Research & Development,29,5,Medical,1,139,1,Female,69,2,3,Manufacturing Director,4,Divorced,5182,25276,3,Y,Yes,18,3,1,80,0,19,5,1,10,1,0,0,No
